DEPTH_ft,GR,RT,RHOB,NPHI,Hydrocarbon,Zone
1152,77.67,35.17,2.274,0.173,0,transition
1154,73.35,39.26,2.364,0.22,0,transition
1156,75.09,37.02,2.227,0.131,1,transition
1158,57.2,48.19,2.161,0.157,0,transition
1160,69.59,46.5,2.266,0.145,0,transition
1162,49.53,40.04,2.312,0.132,0,transition
1164,56.67,26.17,2.332,0.169,1,transition
1166,58.08,46.35,2.183,0.133,1,transition
1168,62.39,47.08,2.151,0.185,1,transition
1170,69.09,11.11,2.275,0.202,1,transition
1172,54.57,40.39,2.33,0.126,1,transition
1174,45.24,21.34,2.245,0.243,0,transition
1176,48.74,42.36,2.202,0.183,1,transition
1178,55.86,44.63,2.351,0.127,0,transition
1180,46.96,40.95,2.236,0.168,0,transition
1182,46.57,41.78,2.342,0.2,0,transition
1184,79.96,31.13,2.247,0.173,1,transition
1186,52.22,40.5,2.173,0.142,1,transition
1188,57.03,19.73,2.283,0.195,1,transition
1190,84.91,23.69,2.175,0.136,1,transition
1192,61.44,43.73,2.207,0.192,0,transition
1194,56.26,29.23,2.248,0.138,0,transition
1196,55.36,42.18,2.29,0.155,0,transition
1198,73.74,45.38,2.356,0.114,1,transition
1200,52.26,13.25,2.3,0.142,1,transition
1202,70.28,29.45,2.142,0.152,0,transition
1204,51.54,14.57,2.249,0.204,0,transition
1206,61.36,28.28,2.361,0.213,0,transition
1208,59.22,18.7,2.224,0.235,1,transition
1210,71.9,43.39,2.324,0.161,1,transition
1212,74.16,29.93,2.388,0.189,0,transition
1214,59.88,36.99,2.348,0.205,0,transition
1216,47.59,37.59,2.383,0.242,0,transition
1218,53.5,31.7,2.294,0.121,0,transition
1220,100.22,3.55,2.55,0.384,0,shale
1222,147.55,2.65,2.606,0.418,0,shale
1224,121.17,3.82,2.518,0.342,0,shale
1226,116.62,6.24,2.608,0.352,0,shale
1228,99.98,4.87,2.46,0.306,0,shale
1230,92.86,1.92,2.487,0.409,0,shale
1232,115.92,7.54,2.488,0.42,0,shale
1234,150.7,9.0,2.694,0.434,0,shale
1236,110.48,11.74,2.501,0.442,0,shale
1238,144.96,3.2,2.519,0.371,0,shale
1240,146.4,4.31,2.653,0.306,0,shale
1242,112.28,6.16,2.61,0.378,0,shale
1244,111.98,5.26,2.518,0.438,0,shale
1246,100.54,10.49,2.482,0.418,0,shale
1248,131.46,6.54,2.434,0.291,0,shale
1250,143.88,1.95,2.502,0.395,0,shale
1252,112.22,6.59,2.588,0.381,0,shale
1254,143.58,0.2,2.49,0.286,0,shale
1256,104.16,4.57,2.578,0.384,0,shale
1258,132.01,2.14,2.676,0.291,0,shale
1260,137.57,2.65,2.574,0.432,0,shale
1262,128.3,7.59,2.514,0.321,0,shale
1264,129.71,2.11,2.651,0.409,0,shale
1266,96.31,0.2,2.473,0.324,0,shale
1268,104.41,4.53,2.535,0.394,0,shale
1270,103.31,12.09,2.477,0.319,0,shale
1272,111.97,4.84,2.524,0.307,0,shale
1274,150.08,1.78,2.657,0.386,0,shale
1276,109.41,1.59,2.613,0.294,0,shale
1278,148.7,4.61,2.47,0.273,0,shale
1280,135.73,0.2,2.602,0.339,0,shale
1282,142.34,8.81,2.715,0.302,0,shale
1284,138.51,6.78,2.677,0.397,0,shale
1286,102.23,5.68,2.553,0.274,0,shale
1288,108.88,7.24,2.562,0.43,0,shale
1290,137.21,9.27,2.65,0.381,0,shale
1292,100.41,0.97,2.483,0.41,0,shale
1294,138.57,0.26,2.585,0.336,0,shale
1296,102.35,4.96,2.58,0.284,0,shale
1298,133.9,9.27,2.566,0.359,0,shale
1300,89.56,2.42,2.524,0.428,0,shale
1302,116.53,2.51,2.635,0.413,0,shale
1304,137.39,7.57,2.629,0.306,0,shale
1306,116.73,11.63,2.514,0.308,0,shale
1308,100.31,5.0,2.547,0.394,0,shale
1310,129.43,7.44,2.697,0.282,0,shale
1312,116.63,5.24,2.624,0.3,0,shale
1314,136.38,6.23,2.563,0.381,0,shale
1316,134.44,4.22,2.561,0.393,0,shale
1318,141.58,2.53,2.613,0.427,0,shale
1320,127.05,0.2,2.555,0.424,0,shale
1322,118.46,4.54,2.538,0.38,0,shale
1324,112.18,3.95,2.701,0.263,0,shale
1326,120.66,0.2,2.576,0.358,0,shale
1328,120.5,1.13,2.688,0.311,0,shale
1330,148.8,3.78,2.45,0.332,0,shale
1332,131.64,0.2,2.506,0.317,0,shale
1334,138.7,0.2,2.492,0.294,0,shale
1336,121.35,0.2,2.698,0.33,0,shale
1338,105.27,9.47,2.48,0.431,0,shale
1340,104.93,1.58,2.497,0.289,0,shale
1342,115.79,9.24,2.612,0.389,0,shale
1344,141.06,3.63,2.648,0.304,0,shale
1346,148.02,7.3,2.515,0.288,0,shale
1348,101.28,4.73,2.652,0.294,0,shale
1350,142.77,3.06,2.659,0.303,0,shale
1352,144.45,7.57,2.532,0.324,0,shale
1354,98.82,4.18,2.584,0.362,0,shale
1356,119.31,9.38,2.679,0.35,0,shale
1358,129.8,0.2,2.62,0.395,0,shale
1360,117.8,5.35,2.468,0.395,0,shale
1362,116.55,5.92,2.616,0.31,0,shale
1364,107.25,10.33,2.573,0.363,0,shale
1366,135.09,1.12,2.53,0.328,0,shale
1368,133.29,7.52,2.599,0.309,0,shale
1370,124.41,2.92,2.631,0.424,0,shale
1372,122.5,7.1,2.511,0.397,0,shale
1374,89.69,10.52,2.683,0.379,0,shale
1376,102.88,4.93,2.56,0.333,0,shale
1378,120.06,0.2,2.477,0.418,0,shale
1380,83.93,10.2,2.257,0.291,0,water
1382,74.02,7.05,2.254,0.279,0,water
1384,63.73,0.2,2.376,0.255,0,water
1386,70.6,2.64,2.425,0.203,0,water
1388,83.81,0.2,2.247,0.182,0,water
1390,56.15,8.15,2.512,0.292,0,water
1392,64.94,3.65,2.497,0.186,0,water
1394,75.31,9.99,2.302,0.276,0,water
1396,78.22,9.97,2.477,0.27,0,water
1398,84.25,3.03,2.325,0.237,0,water
1400,58.15,0.26,2.287,0.314,0,water
1402,81.36,11.29,2.29,0.305,0,water
1404,67.13,4.35,2.384,0.232,0,water
1406,47.07,6.93,2.413,0.318,0,water
1408,64.91,6.31,2.272,0.228,0,water
1410,65.82,2.29,2.291,0.188,0,water
1412,72.18,13.39,2.3,0.317,0,water
1414,47.57,5.27,2.266,0.239,0,water
1416,67.45,10.96,2.284,0.314,0,water
1418,71.3,3.6,2.465,0.228,0,water
1420,62.93,7.5,2.35,0.281,0,water
1422,77.06,6.78,2.32,0.212,0,water
1424,81.23,13.14,2.314,0.28,0,water
1426,63.84,1.95,2.481,0.205,0,water
1428,49.01,2.13,2.231,0.213,0,water
1430,62.26,9.05,2.359,0.212,0,water
1432,82.77,12.81,2.497,0.298,0,water
1434,61.69,10.41,2.45,0.315,0,water
1436,82.7,8.2,2.308,0.19,0,water
1438,61.74,14.67,2.379,0.203,0,water
1440,54.65,13.39,2.325,0.205,0,water
1442,70.75,10.94,2.483,0.232,0,water
1444,60.68,7.38,2.325,0.229,0,water
1446,81.75,3.7,2.385,0.248,0,water
1448,81.39,7.03,2.352,0.203,0,water
1450,67.86,0.2,2.291,0.247,0,water
1452,52.62,6.19,2.44,0.269,0,water
1454,64.85,14.93,2.456,0.234,0,water
1456,47.85,5.37,2.4,0.187,0,water
1458,43.6,16.6,2.399,0.299,0,water
1460,60.0,0.2,2.429,0.298,0,water
1462,60.23,4.27,2.44,0.248,0,water
1464,43.85,7.5,2.326,0.226,0,water
1466,73.11,5.9,2.446,0.272,0,water
1468,45.85,1.72,2.324,0.248,0,water
1470,79.29,6.13,2.278,0.227,0,water
1472,45.31,9.76,2.428,0.263,0,water
1474,60.95,3.98,2.473,0.279,0,water
1476,60.23,6.76,2.346,0.19,0,water
1478,46.37,7.67,2.299,0.236,0,water
1480,66.22,13.97,2.393,0.192,0,water
1482,70.02,13.17,2.412,0.271,0,water
1484,44.85,6.56,2.295,0.205,0,water
1486,83.8,12.38,2.24,0.261,0,water
1488,81.52,7.04,2.296,0.287,0,water
1490,55.19,5.42,2.36,0.234,0,water
1492,48.21,5.77,2.305,0.254,0,water
1494,84.09,4.76,2.334,0.219,0,water
1496,63.27,9.27,2.322,0.286,0,water
1498,63.26,17.09,2.426,0.316,0,water
1500,72.23,0.28,2.472,0.193,0,water
1502,71.86,12.08,2.419,0.236,0,water
1504,60.39,19.02,2.31,0.312,0,water
1506,70.05,5.09,2.337,0.228,0,water
1508,71.32,13.62,2.332,0.226,0,water
1510,53.12,11.28,2.314,0.339,0,water
1512,81.99,12.89,2.244,0.214,0,water
1514,67.78,9.11,2.478,0.286,0,water
1516,61.14,4.04,2.247,0.194,0,water
1518,51.63,0.2,2.336,0.228,0,water
1520,76.4,4.38,2.351,0.244,0,water
1522,59.58,5.7,2.457,0.248,0,water
1524,52.44,13.05,2.334,0.182,0,water
1526,73.29,7.3,2.266,0.175,0,water
1528,49.25,0.2,2.279,0.189,0,water
1530,67.05,6.74,2.296,0.264,0,water
1532,44.79,16.6,2.359,0.233,0,water
1534,70.91,4.74,2.333,0.2,0,water
1536,47.9,7.45,2.406,0.18,0,water
1538,46.13,4.14,2.336,0.203,0,water
1540,63.96,7.3,2.303,0.291,0,water
1542,72.38,8.22,2.357,0.283,0,water
1544,58.98,4.16,2.48,0.229,0,water
1546,69.18,13.51,2.342,0.31,0,water
1548,62.48,7.21,2.263,0.305,0,water
1550,76.62,12.08,2.37,0.301,0,water
1552,71.29,15.24,2.308,0.225,0,water
1554,82.93,9.09,2.352,0.318,0,water
1556,74.73,5.73,2.296,0.302,0,water
1558,51.04,0.2,2.44,0.297,0,water
1560,48.84,18.35,2.462,0.291,0,water
1562,74.93,8.12,2.318,0.284,0,water
1564,80.92,0.2,2.365,0.294,0,water
1566,64.86,16.43,2.347,0.32,0,water
1568,50.72,12.93,2.365,0.279,0,water
1570,45.21,62.9,2.214,0.134,1,oil
1572,33.83,41.0,2.246,0.142,1,oil
1574,22.99,80.67,2.031,0.151,1,oil
1576,47.62,96.39,2.224,0.156,1,oil
1578,55.69,134.45,2.229,0.165,1,oil
1580,37.18,110.77,2.252,0.058,1,oil
1582,28.99,115.88,2.285,0.14,1,oil
1584,35.67,63.89,2.088,0.084,1,oil
1586,39.35,108.24,2.274,0.112,1,oil
1588,34.78,158.04,2.14,0.145,1,oil
1590,49.78,157.93,2.043,0.098,1,oil
1592,26.87,141.24,2.12,0.078,1,oil
1594,25.62,43.91,2.297,0.148,1,oil
1596,24.1,108.34,2.14,0.076,1,oil
1598,45.14,172.57,2.208,0.093,1,oil
1600,56.17,75.83,2.065,0.152,1,oil
1602,54.02,141.58,2.079,0.091,1,oil
1604,32.2,154.67,2.077,0.051,1,oil
1606,57.13,174.41,2.133,0.118,1,oil
1608,48.0,63.37,2.115,0.179,1,oil
1610,49.4,37.32,2.231,0.177,1,oil
1612,38.7,94.12,2.102,0.109,1,oil
1614,32.11,103.23,2.15,0.112,1,oil
1616,61.55,166.23,2.244,0.174,1,oil
1618,49.25,124.28,2.076,0.122,1,oil
1620,32.79,160.97,2.027,0.09,1,oil
1622,33.04,120.11,2.124,0.128,1,oil
1624,55.58,118.08,2.02,0.162,1,oil
1626,41.39,119.91,2.058,0.127,1,oil
1628,33.31,48.8,2.123,0.159,1,oil
1630,58.67,142.18,2.047,0.156,1,oil
1632,51.16,62.04,2.237,0.068,1,oil
1634,30.66,79.3,2.211,0.102,1,oil
1636,54.86,166.19,2.035,0.133,1,oil
1638,24.8,91.34,2.201,0.171,1,oil
1640,41.26,150.37,2.037,0.181,1,oil
1642,56.29,124.84,2.039,0.074,1,oil
1644,33.36,133.57,2.097,0.06,1,oil
1646,53.89,41.86,2.097,0.076,1,oil
1648,26.13,154.83,2.199,0.099,1,oil
1650,55.81,131.73,2.017,0.098,1,oil
1652,25.37,92.35,2.151,0.13,1,oil
1654,34.43,43.35,2.123,0.171,1,oil
1656,26.0,108.68,2.077,0.128,1,oil
1658,40.52,144.77,2.236,0.159,1,oil
1660,50.68,167.0,2.262,0.13,1,oil
1662,47.09,90.07,2.134,0.135,1,oil
1664,38.63,92.73,2.098,0.089,1,oil
1666,38.49,103.34,2.155,0.104,1,oil
1668,51.4,115.29,2.271,0.104,1,oil
1670,39.59,180.88,2.116,0.158,1,oil
1672,56.77,80.66,2.069,0.056,1,oil
1674,35.19,66.46,2.165,0.138,1,oil
1676,43.45,52.47,2.234,0.177,1,oil
1678,53.47,134.01,2.249,0.077,1,oil
1680,49.85,88.47,2.007,0.12,1,oil
1682,46.21,74.23,2.135,0.061,1,oil
1684,45.18,142.76,2.093,0.067,1,oil
1686,49.81,97.77,2.14,0.125,1,oil
1688,49.92,73.55,2.205,0.124,1,oil
1690,38.31,79.25,2.125,0.175,1,oil
1692,51.0,89.45,2.285,0.088,1,oil
1694,24.18,109.2,2.161,0.087,1,oil
1696,49.77,166.8,2.063,0.062,1,oil
1698,43.51,93.99,2.243,0.125,1,oil
1700,25.01,131.79,2.084,0.176,1,oil
1702,57.63,130.99,2.064,0.097,1,oil
1704,50.91,133.79,2.1,0.196,1,oil
1706,54.41,80.06,2.179,0.161,1,oil
1708,22.82,132.62,2.175,0.134,1,oil
1710,38.67,141.83,2.241,0.084,1,oil
1712,26.37,180.38,2.01,0.173,1,oil
1714,46.44,46.57,2.099,0.17,1,oil
1716,27.93,150.83,2.187,0.067,1,oil
1718,22.48,181.09,2.099,0.173,1,oil
1720,26.18,135.95,2.031,0.158,1,oil
1722,59.16,85.66,2.059,0.182,1,oil
1724,28.45,51.74,2.011,0.122,1,oil
1726,45.44,123.5,2.169,0.115,1,oil
1728,34.47,86.49,2.11,0.18,1,oil
1730,59.85,44.86,2.162,0.176,1,oil
1732,28.47,55.74,2.231,0.146,1,oil
1734,49.16,116.88,2.099,0.167,1,oil
1736,43.61,176.34,2.062,0.126,1,oil
1738,39.32,123.07,2.193,0.112,1,oil
1740,28.34,166.75,2.134,0.152,1,oil
1742,57.67,111.98,2.16,0.14,1,oil
1744,38.81,129.01,2.211,0.18,1,oil
1746,54.21,58.92,2.049,0.079,1,oil
1748,37.37,49.24,2.084,0.182,1,oil
1750,48.89,60.7,2.181,0.111,1,oil
1752,36.42,43.15,2.054,0.121,1,oil
1754,30.36,69.37,2.238,0.081,1,oil
1756,49.9,127.51,2.101,0.057,1,oil
1758,34.34,133.35,2.236,0.099,1,oil
1760,58.49,140.67,2.105,0.13,1,oil
1762,43.68,110.17,2.236,0.153,1,oil
1764,51.42,99.37,2.105,0.165,1,oil
1766,45.73,140.22,2.116,0.048,1,oil
1768,25.41,71.67,2.022,0.145,1,oil
1770,101.94,0.2,2.676,0.381,0,shale
1772,94.28,5.17,2.512,0.309,0,shale
1774,91.91,7.52,2.611,0.323,0,shale
1776,104.55,5.16,2.565,0.386,0,shale
1778,147.6,4.43,2.605,0.308,0,shale
1780,133.39,4.43,2.462,0.293,0,shale
1782,114.78,0.44,2.501,0.439,0,shale
1784,104.88,6.95,2.671,0.29,0,shale
1786,91.43,10.76,2.634,0.29,0,shale
1788,119.84,1.77,2.646,0.406,0,shale
1790,91.05,3.68,2.681,0.383,0,shale
1792,100.53,0.2,2.555,0.394,0,shale
1794,111.36,1.32,2.592,0.343,0,shale
1796,109.2,0.22,2.528,0.396,0,shale
1798,109.24,2.09,2.45,0.33,0,shale
1800,97.77,0.2,2.458,0.421,0,shale
1802,104.82,6.03,2.642,0.293,0,shale
1804,126.04,3.12,2.602,0.304,0,shale
1806,99.69,4.54,2.584,0.32,0,shale
1808,134.48,6.73,2.641,0.3,0,shale
1810,125.17,2.87,2.621,0.334,0,shale
1812,109.23,1.13,2.469,0.288,0,shale
1814,94.68,1.99,2.489,0.339,0,shale
1816,86.93,0.2,2.708,0.319,0,shale
1818,125.43,4.44,2.471,0.291,0,shale
1820,136.72,1.57,2.488,0.42,0,shale
1822,124.33,7.02,2.588,0.315,0,shale
1824,140.04,6.55,2.54,0.304,0,shale
1826,93.14,12.64,2.599,0.309,0,shale
1828,138.33,0.2,2.588,0.33,0,shale
1830,131.57,5.39,2.453,0.279,0,shale
1832,95.96,6.11,2.447,0.435,0,shale
1834,148.6,1.6,2.649,0.379,0,shale
1836,107.67,0.2,2.55,0.423,0,shale
1838,144.67,1.08,2.661,0.388,0,shale
1840,135.95,4.24,2.676,0.312,0,shale
1842,143.78,9.81,2.465,0.384,0,shale
1844,113.51,3.36,2.52,0.388,0,shale
1846,109.92,0.74,2.59,0.446,0,shale
1848,98.25,4.98,2.447,0.374,0,shale
1850,101.31,9.32,2.542,0.365,0,shale
1852,144.71,6.15,2.546,0.287,0,shale
1854,148.32,0.2,2.554,0.408,0,shale
1856,113.52,4.93,2.65,0.284,0,shale
1858,130.03,6.5,2.634,0.4,0,shale
1860,114.48,7.06,2.527,0.311,0,shale
1862,143.2,6.85,2.495,0.394,0,shale
1864,142.14,1.7,2.531,0.326,0,shale
1866,146.72,6.29,2.467,0.433,0,shale
1868,148.83,0.61,2.598,0.445,0,shale
1870,121.4,1.17,2.485,0.44,0,shale
1872,146.52,4.38,2.666,0.36,0,shale
1874,136.62,0.2,2.493,0.355,0,shale
1876,138.38,1.37,2.598,0.311,0,shale
1878,114.79,2.5,2.566,0.349,0,shale
1880,127.83,3.95,2.549,0.319,0,shale
1882,127.21,9.94,2.531,0.304,0,shale
1884,138.05,0.91,2.555,0.295,0,shale
1886,113.82,10.18,2.685,0.412,0,shale
1888,132.15,2.64,2.503,0.317,0,shale
1890,138.68,6.53,2.675,0.336,0,shale
1892,98.27,8.17,2.539,0.417,0,shale
1894,92.74,1.88,2.59,0.303,0,shale
1896,131.64,5.18,2.492,0.324,0,shale
1898,91.33,12.0,2.693,0.338,0,shale
1900,141.04,5.75,2.654,0.378,0,shale
1902,113.97,5.51,2.699,0.311,0,shale
1904,97.6,4.03,2.624,0.349,0,shale
1906,90.65,11.54,2.585,0.36,0,shale
1908,106.41,4.25,2.653,0.321,0,shale
1910,101.92,6.0,2.523,0.346,0,shale
1912,113.91,7.0,2.539,0.402,0,shale
1914,124.68,6.07,2.626,0.368,0,shale
1916,101.49,4.12,2.48,0.307,0,shale
1918,137.66,11.33,2.642,0.404,0,shale
1920,139.03,1.44,2.61,0.394,0,shale
1922,126.7,3.45,2.579,0.383,0,shale
1924,99.42,7.05,2.625,0.343,0,shale
1926,143.06,4.9,2.658,0.382,0,shale
1928,147.14,8.75,2.562,0.303,0,shale
1930,102.08,0.2,2.671,0.386,0,shale
1932,115.74,1.83,2.493,0.379,0,shale
1934,98.55,3.41,2.491,0.388,0,shale
1936,118.23,9.08,2.681,0.278,0,shale
1938,145.33,5.43,2.582,0.369,0,shale
1940,121.91,1.16,2.689,0.308,0,shale
1942,116.21,7.2,2.593,0.283,0,shale
1944,143.88,5.88,2.585,0.401,0,shale
1946,140.59,6.53,2.475,0.355,0,shale
1948,94.83,5.76,2.557,0.354,0,shale
1950,132.85,6.42,2.466,0.315,0,shale
1952,150.25,4.48,2.686,0.299,0,shale
1954,125.31,3.02,2.563,0.404,0,shale
1956,124.31,0.71,2.49,0.35,0,shale
1958,127.32,7.33,2.613,0.299,0,shale
1960,142.27,10.23,2.453,0.327,0,shale
1962,108.69,0.2,2.473,0.297,0,shale
1964,149.2,2.46,2.596,0.317,0,shale
1966,96.58,3.25,2.637,0.308,0,shale
1968,107.87,2.2,2.477,0.418,0,shale
1970,97.38,4.12,2.614,0.352,0,shale
1972,136.41,0.32,2.585,0.337,0,shale
1974,136.54,3.35,2.545,0.285,0,shale
1976,110.38,2.41,2.475,0.351,0,shale
1978,143.08,4.33,2.585,0.428,0,shale
1980,145.74,4.67,2.551,0.296,0,shale
1982,147.74,2.67,2.562,0.327,0,shale
1984,45.15,120.36,2.189,0.133,1,oil
1986,15.3,90.92,2.035,0.066,1,oil
1988,48.21,67.39,2.005,0.102,1,oil
1990,27.48,171.6,2.1,0.179,1,oil
1992,53.71,139.95,2.09,0.073,1,oil
1994,48.15,137.47,2.034,0.087,1,oil
1996,43.42,69.99,2.032,0.06,1,oil
1998,47.28,62.09,2.229,0.095,1,oil
2000,52.05,81.88,2.109,0.161,1,oil
2002,37.42,131.18,2.138,0.158,1,oil
2004,20.96,100.08,2.045,0.123,1,oil
2006,28.68,73.48,2.089,0.079,1,oil
2008,38.46,47.68,2.091,0.145,1,oil
2010,26.31,177.39,2.148,0.093,1,oil
2012,32.57,170.86,2.125,0.154,1,oil
2014,45.27,90.79,2.055,0.179,1,oil
2016,39.17,42.92,2.111,0.149,1,oil
2018,45.81,54.4,2.203,0.189,1,oil
2020,28.49,72.8,2.183,0.171,1,oil
2022,27.5,65.68,2.209,0.129,1,oil
2024,60.14,71.52,2.154,0.121,1,oil
2026,27.28,157.33,2.069,0.178,1,oil
2028,35.44,89.31,2.187,0.063,1,oil
2030,44.04,74.51,2.128,0.132,1,oil
2032,54.77,57.82,2.049,0.125,1,oil
2034,28.95,119.13,2.151,0.09,1,oil
2036,31.56,171.16,2.127,0.067,1,oil
2038,27.74,174.29,2.251,0.097,1,oil
2040,37.43,53.54,2.099,0.124,1,oil
2042,28.99,54.83,2.251,0.136,1,oil
2044,34.5,109.15,2.168,0.071,1,oil
2046,51.25,37.16,2.149,0.164,1,oil
2048,51.97,75.57,2.152,0.17,1,oil
2050,29.41,141.38,2.102,0.146,1,oil
2052,29.93,45.57,2.007,0.097,1,oil
2054,44.11,92.86,2.22,0.114,1,oil
2056,27.91,88.06,2.254,0.14,1,oil
2058,58.52,73.05,2.191,0.085,1,oil
2060,51.87,121.38,2.055,0.066,1,oil
2062,20.39,66.59,2.184,0.032,1,oil
2064,21.85,58.17,2.249,0.175,1,oil
2066,37.72,107.94,2.09,0.074,1,oil
2068,46.6,79.74,2.235,0.169,1,oil
2070,40.03,50.32,2.047,0.161,1,oil
2072,51.13,47.96,2.167,0.076,1,oil
2074,24.66,136.59,2.175,0.085,1,oil
2076,29.56,75.45,2.117,0.117,1,oil
2078,32.74,128.4,2.185,0.147,1,oil
2080,31.91,57.81,2.089,0.148,1,oil
2082,31.72,83.34,2.219,0.07,1,oil
2084,26.38,171.87,2.227,0.115,1,oil
2086,35.11,140.99,2.135,0.161,1,oil
2088,26.98,134.28,2.064,0.089,1,oil
2090,39.62,171.89,2.254,0.128,1,oil
2092,18.78,178.25,2.253,0.079,1,oil
2094,49.33,148.73,2.127,0.07,1,oil
2096,32.6,148.28,2.01,0.069,1,oil
2098,26.23,65.63,2.216,0.138,1,oil
2100,26.54,74.42,2.227,0.163,1,oil
2102,32.45,106.56,2.207,0.147,1,oil
2104,46.54,89.2,2.087,0.106,1,oil
2106,33.65,67.08,2.222,0.083,1,oil
2108,46.97,37.09,2.2,0.15,1,oil
2110,51.58,79.57,2.111,0.11,1,oil
2112,56.43,95.24,2.202,0.158,1,oil
2114,59.57,146.31,2.19,0.171,1,oil
2116,23.17,120.25,2.112,0.142,1,oil
2118,25.2,170.59,2.221,0.132,1,oil
2120,39.18,85.98,2.213,0.16,1,oil
2122,24.13,86.94,2.03,0.162,1,oil
2124,29.59,103.95,2.091,0.141,1,oil
2126,40.65,163.17,2.221,0.106,1,oil
2128,55.33,109.56,2.139,0.119,1,oil
2130,34.99,173.8,2.181,0.069,1,oil
2132,50.21,95.32,2.019,0.128,1,oil
2134,51.92,152.09,2.044,0.177,1,oil
2136,57.05,66.32,2.068,0.096,1,oil
2138,43.44,58.05,2.281,0.2,1,oil
2140,43.27,145.39,2.261,0.105,1,oil
2142,58.28,164.48,2.281,0.132,1,oil
2144,51.8,102.43,2.152,0.09,1,oil
2146,23.68,38.59,2.095,0.158,1,oil
2148,24.27,121.96,2.253,0.068,1,oil
2150,52.97,80.49,2.229,0.173,1,oil
2152,20.02,152.63,2.203,0.077,1,oil
2154,48.32,76.54,2.053,0.085,1,oil
2156,27.47,51.84,2.038,0.099,1,oil
2158,59.78,111.88,2.27,0.121,1,oil
2160,21.65,140.69,2.257,0.121,1,oil
2162,39.57,61.56,2.24,0.119,1,oil
2164,44.44,172.47,2.1,0.098,1,oil
2166,58.65,56.47,2.096,0.154,1,oil
